path,filename,label,label_index,fold
dataset/dog/1-100032-A-0.wav,1-100032-A-0.wav,dog,0,1
dataset/dog/1-110389-A-0.wav,1-110389-A-0.wav,dog,0,1
dataset/dog/1-30226-A-0.wav,1-30226-A-0.wav,dog,0,1
dataset/dog/1-30344-A-0.wav,1-30344-A-0.wav,dog,0,1
dataset/dog/1-32318-A-0.wav,1-32318-A-0.wav,dog,0,1
dataset/dog/1-59513-A-0.wav,1-59513-A-0.wav,dog,0,1
dataset/dog/1-85362-A-0.wav,1-85362-A-0.wav,dog,0,1
dataset/dog/1-97392-A-0.wav,1-97392-A-0.wav,dog,0,1
dataset/dog/2-114280-A-0.wav,2-114280-A-0.wav,dog,0,2
dataset/dog/2-114587-A-0.wav,2-114587-A-0.wav,dog,0,2
dataset/dog/2-116400-A-0.wav,2-116400-A-0.wav,dog,0,2
dataset/dog/2-117271-A-0.wav,2-117271-A-0.wav,dog,0,2
dataset/dog/2-118072-A-0.wav,2-118072-A-0.wav,dog,0,2
dataset/dog/2-118964-A-0.wav,2-118964-A-0.wav,dog,0,2
dataset/dog/2-122104-A-0.wav,2-122104-A-0.wav,dog,0,2
dataset/dog/2-122104-B-0.wav,2-122104-B-0.wav,dog,0,2
dataset/dog/3-136288-A-0.wav,3-136288-A-0.wav,dog,0,3
dataset/dog/3-144028-A-0.wav,3-144028-A-0.wav,dog,0,3
dataset/dog/3-155312-A-0.wav,3-155312-A-0.wav,dog,0,3
dataset/dog/3-157695-A-0.wav,3-157695-A-0.wav,dog,0,3
dataset/dog/3-163459-A-0.wav,3-163459-A-0.wav,dog,0,3
dataset/dog/3-170015-A-0.wav,3-170015-A-0.wav,dog,0,3
dataset/dog/3-180256-A-0.wav,3-180256-A-0.wav,dog,0,3
dataset/dog/3-180977-A-0.wav,3-180977-A-0.wav,dog,0,3
dataset/dog/4-182395-A-0.wav,4-182395-A-0.wav,dog,0,4
dataset/dog/4-183992-A-0.wav,4-183992-A-0.wav,dog,0,4
dataset/dog/4-184575-A-0.wav,4-184575-A-0.wav,dog,0,4
dataset/dog/4-191687-A-0.wav,4-191687-A-0.wav,dog,0,4
dataset/dog/4-192236-A-0.wav,4-192236-A-0.wav,dog,0,4
dataset/dog/4-194754-A-0.wav,4-194754-A-0.wav,dog,0,4
dataset/dog/4-199261-A-0.wav,4-199261-A-0.wav,dog,0,4
dataset/dog/4-207124-A-0.wav,4-207124-A-0.wav,dog,0,4
dataset/dog/5-203128-A-0.wav,5-203128-A-0.wav,dog,0,5
dataset/dog/5-203128-B-0.wav,5-203128-B-0.wav,dog,0,5
dataset/dog/5-208030-A-0.wav,5-208030-A-0.wav,dog,0,5
dataset/dog/5-212454-A-0.wav,5-212454-A-0.wav,dog,0,5
dataset/dog/5-213855-A-0.wav,5-213855-A-0.wav,dog,0,5
dataset/dog/5-217158-A-0.wav,5-217158-A-0.wav,dog,0,5
dataset/dog/5-231762-A-0.wav,5-231762-A-0.wav,dog,0,5
dataset/dog/5-9032-A-0.wav,5-9032-A-0.wav,dog,0,5
dataset/cat/1-34094-A-5.wav,1-34094-A-5.wav,cat,1,1
dataset/cat/1-34094-B-5.wav,1-34094-B-5.wav,cat,1,1
dataset/cat/1-47819-A-5.wav,1-47819-A-5.wav,cat,1,1
dataset/cat/1-47819-B-5.wav,1-47819-B-5.wav,cat,1,1
dataset/cat/1-47819-C-5.wav,1-47819-C-5.wav,cat,1,1
dataset/cat/1-56380-A-5.wav,1-56380-A-5.wav,cat,1,1
dataset/cat/1-56380-B-5.wav,1-56380-B-5.wav,cat,1,1
dataset/cat/1-79113-A-5.wav,1-79113-A-5.wav,cat,1,1
